id;domanda;risposta_corretta;risposta_errata_1;risposta_errata_2
0482;Licenze, omologazioni, nulla-osta, sono figure affini all'autorizzazione. Quali tra quelli citati sono rilasciati dall'autorità a suggello della conformità delle cose alle norme nazionali e internazionali a tutela della sicurezza o dell'uniformità dei prodotti?;Omologazioni.;Licenze.;Nulla-osta.
0483;Abilitazioni, omologazioni, nulla-osta, sono figure affini all'autorizzazione. Quali tra quelli citati sono atti con cui la p.a. dichiara di non avere nulla in contrario in ordine all'adozione di unprovvedimento da parte di un'altra autorità?;Nulla-osta.;Abilitazioni.;Omologazioni.
0484;Abilitazioni, nulla-osta, dispense. Quali tra quelli citati sono provvedimenti mediante i quali i privati sono abilitati ad esercitare l'attività in deroga al divieto legale oppure sono esonerati dalcompimento di un'attività doverosa?;Dispense.;Abilitazioni.;Nulla-osta.
0485;Abilitazioni, licenze, omologazioni, dispense. Quali tra quelli citati attengono ad attività normalmente vietate o comunque precluse aidestinatari dell'atto?;Dispense.;Licenze.;Omologazioni.
0486;Mediante quale dei seguenti provvedimenti la P.A. attribuisce al destinatario il diritto-dovere di svolgere in via esclusiva un'attività o di godere di un determinato bene riservati originariamente alla P.A.?;Concessione.;Autorizzazione.;Appalto.
0487;La concessione:;È un provvedimento amministrativo che attribuisce al destinatario, ampliandone così la sfera giuridica, il diritto-dovere di svolgere in via esclusiva un'attività o di godere di un determinato bene riservati originariamente alla P.A.;Costituisce un atto di consenso all'esercizio di un'attività o di un potere di cui il soggetto pubblico o privato richiedente è titolare in virtù di una posizione giuridica soggettiva riconosciutagli dall'ordinamento.;È un atto di controllo preventivo di merito sull'atto o sulla attività compiuta.
0488;Le concessioni traslative:;Trasferiscono al concessionario un diritto appartenente all'amministrazione.;Attribuiscono un diritto acquistabile da parte di soggetti anche privati dotati dei requisiti richiesti dalla legge esclusivamente attraverso l'atto amministrativo.;Si sostanziano nell'iscrizione agli albi professionali.
0489;Le concessioni costitutive:;Attribuiscono un diritto acquistabile da parte di soggetti anche privati dotati dei requisiti richiesti dalla legge esclusivamente attraverso l'atto amministrativo.;Trasferiscono al concessionario un diritto appartenente all'amministrazione.;Si sostanziano nelle concessioni di beni.
0490;Con riferimento all'efficacia delle concessioni, quando trasferiscono al concessionario un diritto appartenente all'amministrazione sonodette:;Traslative.;Costitutive.;Modali.
0491;Con riferimento all'efficacia delle concessioni, quando attribuiscono un diritto acquistabile da parte di soggetti anche privati dotati dei requisiti richiesti dalla legge esclusivamente attraverso l'attoamministrativo sono dette:;Costitutive.;Traslative.;Modali.
0492;La concessione dell'esazione di imposte costituisce unaesemplificazione di concessione:;Di funzioni pubbliche.;Di status.;Di diritti soggettivi.
0493;La concessione della cittadinanza costituisce una esemplificazione diconcessione:;Di status.;Di funzioni pubbliche.;Di diritti soggettivi.
0494;La concessione di piazza notarile costituisce una esemplificazione diconcessione:;Di attività professionali.;Di status.;Di diritti soggettivi.
0495;La concessione di onorificenze costituisce una esemplificazione diconcessione:;Di diritti soggettivi.;Di status.;Di funzioni pubbliche.
0496;Quale tra le seguenti costituisce una esemplificazione di concessionedi funzioni pubbliche?;Concessione all'esazione diimposte.;Concessione di piazza notarile.;Concessione di onorificenze.
0497;Quale tra le seguenti costituisce una esemplificazione di concessionedi status?;Concessione della cittadinanza.;Concessione di piazza notarile.;Concessione di onorificenze.
0498;Quale tra le seguenti costituisce una esemplificazione di concessionedi attività professionali?;Concessione di piazza notarile.;Concessione all'esazione diimposte.;Concessione di onorificenze.
0499;Quale tra le seguenti costituisce una esemplificazione di concessionedi diritti soggettivi?;Concessione di onorificenze.;Concessione della cittadinanza.;Concessione di piazza notarile.
0500;"Indicare quale affermazione sulle ""concessioni"" è corretta.";La concessione ha natura costitutiva, in quanto attribuisce al privato un diritto di cui prima non era titolare.;La concessione si limita a rimuovere un ostacolo all'esercizio di un diritto potenziale.;Nella concessione la P.A. mantiene solo un potere di vigilanza sullo svolgimento dell'attività a seguito del quale può adottare solo provvedimenti sanzionatori.
0501;"Indicare quale affermazione sulle ""concessioni"" è corretta.";Nella concessione vi è un potere di ingerenza della P.A. nello svolgimento del servizio che si esprime nel potere di direzione, sostituzione e revoca.;La concessione si limita a rimuovere un ostacolo all'esercizio di un diritto potenziale.;Nella concessione la P.A. mantiene solo un potere di vigilanza sullo svolgimento dell'attività a seguito del quale può adottare solo provvedimenti sanzionatori.
0502;"Indicare quale affermazione sulle ""concessioni"" è corretta.";Nel rapporto concessorio l'amministrazione attribuisce al terzo il potere di svolgere una determinata attività in via esclusiva, assegnandogli una posizione di monopolio odoligopolio.;La concessione si limita a rimuovere un ostacolo all'esercizio di un diritto potenziale.;Nella concessione la P.A. mantiene solo un potere di vigilanza sullo svolgimento dell'attività a seguito della quale può adottare solo provvedimenti sanzionatori.
0503;Indicare quale affermazione afferente le distinzioni che intercorrono tra autorizzazione e concessione e corretta.;A differenza dell'autorizzazione, che si limita a rimuovere un ostacolo all'esercizio di un diritto potenziale, la concessione ha natura costitutiva, in quanto attribuisce al privato un diritto di cui prima non era titolare.;A differenza della concessione, che si limita a rimuovere un ostacolo all'esercizio di un diritto potenziale, l'autorizzazione ha natura costitutiva, in quanto attribuisce al privato un diritto di cui prima non era titolare.;Sia nella concessione che nell'autorizzazione vi è un potere di ingerenza della P.A. nello svolgimento del servizio che si esprime nel potere di direzione, sostituzione e revoca.
0504;Indicare quale affermazione afferente le distinzioni che intercorrono tra autorizzazione e concessione e corretta.;Nella concessione vi è un potere di ingerenza della P.A. nello svolgimento del servizio che si esprime nel potere di direzione, sostituzione e revoca, mentre nell'autorizzazione la P.A. mantiene solo un potere di vigilanza sullo svolgimento dell'attività a seguito del quale può adottare solo provvedimenti sanzionatori.;Sia la concessione che l'autorizzazione hanno natura costitutiva, in quanto attribuiscono al privato un diritto di cui prima non era titolare.;Nell'autorizzazione vi è un potere di ingerenza della P.A. nello svolgimento del servizio che si esprime nel potere di direzione, sostituzione e revoca, mentre nella concessione la P.A. mantiene solo un potere di vigilanza sullo svolgimento dell'attività
0505;Indicare quale affermazione afferente le distinzioni che intercorrono tra autorizzazione e concessione e corretta.;Nel rapporto concessorio l'amministrazione attribuisce al terzo il potere di svolgere una determinata attività in via esclusiva, assegnandogli una posizione di monopolio od oligopolio che si fonda su potere si riserva del bene o dell'attività all'amministrazione, con l'autorizzazione il privato opera sul mercato in concorrenza con altri soggetti autorizzati.;A differenza della concessione, che si limita a rimuovere un ostacolo all'esercizio di un diritto potenziale, l'autorizzazione ha natura costitutiva, in quanto attribuisce al privato un diritto di cui prima non era titolare.;Sia nella concessione che nell'autorizzazione la P.A. mantiene solo un potere di vigilanza sullo svolgimento dell'attività a seguito del quale può adottare solo provvedimenti sanzionatori.
0506;La concessione è un atto ampliativo della sfera giuridica del destinatario che attribuisce al destinatario il diritto-dovere di svolgere in via esclusiva un'attività o di godere di un determinato bene riservati originariamente alla P.A. È un provvedimento analogoalla concessione:;La sovvenzione.;Il nulla-osta.;La licenza.
0507;La concessione è un atto ampliativo della sfera giuridica del destinatario che attribuisce al destinatario il diritto-dovere di svolgere in via esclusiva un'attività o di godere di un determinato bene riservati originariamente alla P.A. È un provvedimento analogoalla concessione:;L'ammissione.;L'abilitazione.;Il nulla-osta.
0508;Le concessioni:;Sono suscettibili di revoca nel caso in cui non corrispondano più alle esigenze pubbliche a seguito o di provvedimenti motivati o di una nuova valutazione dell'interesse pubblico.;Rimuovono un limite legale all'esercizio di un diritto già preesistente nella sfera giuridica del destinatario.;Sono provvedimenti con cui la p.a., nell'esercizio di una attività discrezionale tecnica in funzione preventiva, provvede alla rimozione di un limite legale che si frappone all'esercizio di un'attività inerente ad un diritto soggettivo.
0509;Le concessioni:;Si sostanziano in provvedimenti costitutivi di diritti soggettivi nuovi in capo al soggetto destinatario.;Hanno carattere ampliativo ma non attributivo ex novo di situazioni giuridiche, postulando la necessaria preesistenza di un diritto soggettivo o di una potestà pubblica.;Attribuiscono alla p.a. solo un potere di vigilanza sullo svolgimento dell'attività a seguito del quale può adottare solo provvedimenti sanzionatori.
0510;Le concessioni:;Sono provvedimenti con cui lap.a. attribuisce ai destinatari diritti di cui è titolare.;Postulano un preesistente potere o diritto in capo al privato, di cui si limitano a rimuovere l'ostacolo o l'impedimento all'esercizio.;Sono provvedimenti con cui la p.a., nell'esercizio di una attività discrezionale tecnica in funzione preventiva, provvede alla rimozione di un limite legale che si frappone all'esercizio di un'attività inerente ad un diritto soggettivo.
0511;Le concessioni:;Hanno natura costitutiva, in quanto attribuiscono al privato un diritto di cui prima non era titolare.;Hanno carattere ampliativo ma non attributivo ex novo di situazioni giuridiche, postulando la necessaria preesistenza di un diritto soggettivo o di una potestà pubblica.;Attribuiscono alla p.a. solo un potere di vigilanza sullo svolgimento dell'attività a seguito del quale può adottare solo provvedimenti sanzionatori.
0512;Le concessioni:;Comportano per la p.a. poteri di ingerenza nello svolgimento del servizio che si esprime nel potere di indirizzo, controllo e vigilanza, nonché nel potere sostitutivo.;Rimuovono un limite legale all'esercizio di un diritto già preesistente nella sfera giuridica del destinatario.;Sono provvedimenti con cui la p.a., nell'esercizio di una attività discrezionale tecnica in funzione preventiva, provvede alla rimozione di un limite legale che si frappone all'esercizio di un'attività inerente ad un diritto soggettivo.
0513;La concessione è costitutiva quando:;La situazione giuridica attribuita è totalmente nuova e della stessa non è titolare neppure la pubblica amministrazione.;La pubblica amministrazione trasferisce al privato alcune potestà delle quali essa è titolare.;Quando è rilasciata con un provvedimento manifesto ad hoc.
0514;La concessione è traslativa quando:;La pubblica amministrazione trasferisce al privato alcune potestà delle quali essa è titolare.;La situazione giuridica attribuita è totalmente nuova e della stessa non è titolare neppure la pubblica amministrazione.;Quando è rilasciata con un provvedimento manifesto ad hoc.
0515;Quale tra le seguenti costituisce una esemplificazione di concessionecostitutiva?;Concessione di cittadinanza.;Concessione di servizi.;Concessione di beni.
0516;Quale tra le seguenti costituisce una esemplificazione di concessionecostitutiva?;Concessione di onorificenze.;Concessione di servizi.;Concessione di beni.
0517;Quale tra le seguenti costituisce una esemplificazione di concessionetraslativa?;Concessione di beni.;Concessione di cittadinanza.;Concessione di onorificenze.
0518;Quale tra le seguenti costituisce una esemplificazione di concessionetraslativa?;Concessione di servizi.;Concessione di cittadinanza.;Concessione di onorificenze.
0519;Quando la situazione giuridica attribuita è totalmente nuova e dellastessa non è titolare neppure la pubblica amministrazione, si parla di concessione:;Costitutiva.;Traslativa.;Non modale.
0520;Quando la pubblica amministrazione trasferisce al privato alcune potestà delle quali essa è titolare, si parla di concessione:;Traslativa.;Costitutiva.;Non modale.
0521;La concessione è il provvedimento amministrativo con il quale la pubblica amministrazione attribuisce diritti. Con riferimento ai poteri della p.a. è corretto affermare che:;La pubblica amministrazione gode del potere di indirizzo.;La pubblica amministrazione non gode del potere sostitutivo.;La pubblica amministrazione può solo verificare che il concessionario svolga l'attività con regolarità e nel rispetto del principio di buona amministrazione, ma non gode del potere di indirizzo.
0522;La concessione è il provvedimento amministrativo con il quale la pubblica amministrazione attribuisce diritti. Con riferimento ai poteri della p.a. è corretto affermare che:;La pubblica amministrazione può incidere su significative facoltà decisionali del concessionario.;La pubblica amministrazione non ha poteri di controllo e vigilanza.;La pubblica amministrazione non gode del potere sostitutivo.
0523;La concessione è il provvedimento amministrativo con il quale la pubblica amministrazione attribuisce diritti. Con riferimento ai poteri della p.a. è corretto affermare che:;La pubblica amministrazione ha poteri di controllo e vigilanza.;La pubblica amministrazione può solo esercitare il potere sostitutivo al fine di garantire il soddisfacimento dell'interesse pubblico, ma non gode del poteredi indirizzo.;La pubblica amministrazione può solo incidere su significative facoltà decisionali del concessionario, ma non gode di poteri ispettivi.
0524;La concessione è il provvedimento amministrativo con il quale la pubblica amministrazione attribuisce diritti. Con riferimento ai poteri della p.a. è corretto affermare che:;La pubblica amministrazione può verificare che il concessionario svolga l'attività con regolarità e nel rispetto del principio di buona amministrazione.;La pubblica amministrazione non gode del potere di indirizzo.;La pubblica amministrazione può solo esercitare il potere sostitutivo al fine di garantire il soddisfacimento dell'interesse pubblico, ma non gode del potere diindirizzo.
0525;La concessione è il provvedimento amministrativo con il quale la pubblica amministrazione attribuisce diritti. Con riferimento ai poteri della p.a. è corretto affermare che:;La pubblica amministrazione gode del potere sostitutivo.;La pubblica amministrazione può solo incidere su significative facoltà decisionali del concessionario, ma non gode dipoteri ispettivi.;La pubblica amministrazione non ha poteri di controllo e vigilanza.
0526;La concessione è il provvedimento amministrativo con il quale la pubblica amministrazione attribuisce diritti. Con riferimento ai poteri della p.a. è corretto affermare che:;La pubblica amministrazione può esercitare il potere sostitutivo al fine di garantire il soddisfacimento dell'interesse pubblico.;La pubblica amministrazione non gode del potere di indirizzo.;La pubblica amministrazione può solo verificare che il concessionario svolga l'attività con regolarità e nel rispetto del principio di buona amministrazione, ma non gode del potere di indirizzo.
0527;La concessione è il provvedimento amministrativo con il quale la pubblica amministrazione attribuisce diritti. Con riferimento ai poteri della p.a. essa gode del potere di indirizzo, ovvero:;Può incidere su significative facoltà decisionali del concessionario.;Può verificare che il concessionario svolga l'attività con regolarità e nel rispetto del principio di buonaamministrazione.;Può sostituirsi ad esso nell'organizzazione del servizio.
0528;La concessione è il provvedimento amministrativo con il quale la pubblica amministrazione attribuisce diritti. Con riferimento ai poteri della p.a. essa ha poteri di controllo, ovvero:;Può verificare che il concessionario svolga l'attività con regolarità e nel rispetto del principio di buonaamministrazione.;Può incidere su significative facoltà decisionali del concessionario.;Può sostituirsi ad esso nell'organizzazione del servizio.
0529;La pubblica amministrazione può verificare che il concessionario svolga l'attività con regolarità e nel rispetto del principio di buona amministrazione?;Si.;No, la pubblica amministrazione non ha alcun potere nei confronti del concessionario.;No, la pubblica amministrazione ha solo poteri di indirizzo.
0530;Nella fattispecie concessoria la pubblica amministrazione può esercitare il potere di indirizzo?;Si, nonché il potere di controllo e vigilanza, nonché quello sostitutivo al fine di garantire il soddisfacimento dell'interesse pubblico.;No, la pubblica amministrazione ha solo un generico potere di vigilanza sull'attività, diretto a controllare che la medesima si svolga conformemente alla legge.;Si, la pubblica amministrazione ha solo poteri di indirizzo e può incidere su facoltà decisionali del concessionario.
0531;Nella fattispecie concessoria la pubblica amministrazione può esercitare il potere sostitutivo al fine di garantire il soddisfacimento dell'interesse pubblico?;Si, nonché il potere di indirizzo e di vigilanza.;No, la pubblica amministrazione ha solo un generico potere di vigilanza sull'attività, diretto a controllare che la medesima si svolga conformemente alla legge.;No, la pubblica amministrazione ha solo poteri di indirizzo.
0532;Con riferimento ai diritti e doveri del concessionario, il soggetto privato esercente una pubblica funzione agisce in nome proprio?;Si, agisce in nome proprio ed è responsabile in proprio dei fatti e degli atti illeciti compiuti.;No, agisce in nome della pubblica amministrazione ed è responsabile in solido con la stessa dei fatti e degli atti illeciticompiuti.;Si, agisce in nome proprio ma è responsabile in solido con la pubblica amministrazione dei fatti e degli atti illeciti compiuti.
0533;Con riferimento ai diritti e doveri del concessionario il soggetto privato esercente una pubblica funzione agisce in nome della pubblica amministrazione?;No, agisce in nome proprio ed è responsabile in proprio dei fatti e degli atti illeciti compiuti.;Si, agisce in nome della pubblica amministrazione ed è responsabile in solido con la stessa dei fatti e degli atti illeciticompiuti.;No, agisce in nome proprio ma è responsabile in solido con la pubblica amministrazione dei fatti e degli atti illeciti compiuti.
0534;Con riferimento ai diritti e doveri del concessionario, il soggetto privato è responsabile in proprio dei fatti e degli atti illeciti compiuti?;Si, agisce in nome proprio ed è responsabile in proprio dei fatti e degli atti illeciti compiuti.;No, agisce in nome della pubblica amministrazione ed è responsabile in solido con la stessa dei fatti e degli atti illeciticompiuti.;No, agisce in nome proprio ed è responsabile in solido con la pubblica amministrazione dei fatti e degli atti illeciti compiuti.
0535;Con riferimento ai diritti e doveri del concessionario, il soggetto privato è responsabile solidalmente con la pubblica amministrazione dei fatti e degli atti illeciti compiuti?;No, agisce in nome proprio ed è responsabile in proprio dei fatti e degli atti illeciti compiuti.;Si, agisce in nome della pubblica amministrazione ed è responsabile in solido con la stessa dei fatti e degli atti illeciticompiuti.;Si, agisce in nome proprio ed è responsabile in solido con la pubblica amministrazione dei fatti e degli atti illeciti compiuti.
0536;Nella fattispecie concessoria il concessionario:;Nella concessione di beni ha il dovere di utilizzare il bene stesso entro i limiti e con le modalità fissate dalla concessione o dallalegge.;Gode della facoltà (e non del diritto) all'uso del bene e all'esercizio della concessione.;Nella concessioni di servizi ha la facoltà di organizzare e far funzionare il servizio assunto.
0537;Nella fattispecie concessoria il concessionario:;Nella concessioni di servizi ha il dovere di organizzare e far funzionare il servizio assunto.;Nella concessione di beni ha la facoltà di utilizzare il bene stesso entro i limiti e con le modalità fissate dalla concessione o dallalegge.;Nei rapporti con i terzi è responsabile in solido con la p.a. dei fatti e degli atti illeciti compiuti.
0538;Nella fattispecie concessoria il concessionario:;Nei rapporti con i terzi, assume una posizione di supremazia, in virtù del trasferimento dell'esercizio di funzioni oggettivamente pubbliche propriedel concedente.;Nella concessioni di servizi ha la facoltà di organizzare e far funzionare il servizio assunto.;Nei rapporti con i terzi è responsabile in solido con la p.a. dei fatti e degli atti illeciti compiuti.
0539;Nella fattispecie concessoria il concessionario:;È soggetto privato esercente una pubblica funzione.;Gode della facoltà (e non del diritto) all'uso del bene e all'esercizio della concessione.;Nella concessione di beni ha la facoltà di utilizzare il bene stesso entro i limiti e con le modalità fissate dalla concessione o dallalegge.
0540;Nella fattispecie concessoria il concessionario:;Nei rapporti con i terzi agisce sempre in nome proprio.;Gode della facoltà (e non del diritto) all'uso del bene e all'esercizio della concessione.;Nella concessione di beni ha la facoltà di utilizzare il bene stesso entro i limiti e con le modalità fissate dalla concessione o dallalegge.
0541;Nella fattispecie concessoria il concessionario:;Nei rapporti con i terzi è responsabile in proprio dei fatti edegli atti illeciti compiuti.;Gode della facoltà (e non deldiritto) all'uso del bene e all'esercizio della concessione.;Nella concessioni di servizi ha lafacoltà di organizzare e far funzionare il servizio assunto.
0542;Le ammissioni:;Attengono ai servizi pubblici e si riferiscono al rapporto autoritativo tra ente erogatore del servizio ed utenti accreditati.;Sono provvedimenti di natura concessoria, con cui la p.a. attribuisce al destinatario vantaggi economici, al termine di un procedimento amministrativo finalizzato all'accertamento della sussistenza dei requisiti soggettivi ed oggettivi per la corresponsione del beneficio.;Costituiscono atti di consenso all'esercizio di un'attività o di un potere di cui il soggetto pubblico o privato richiedente è titolare in virtù di una posizione giuridica soggettiva riconosciutagli dall'ordinamento.
0543;Gli atti che incidono negativamente sulla sfera giuridica dei destinatari, sacrificando diritti, facoltà e poteri dei privati, in vistadella realizzazione di un interesse pubblico, sono:;Provvedimenti ablatori.;Provvedimenti concessori.;Provvedimenti di autorizzazione.
0544;Quale è la caratteristica dei provvedimenti ablativi?;La produzione di due effetti: quello privativo, che consiste nella sottrazione di una facoltà o di un diritto ad un altro soggetto, quello appropriativo che consiste nell'acquisizione del bene o della facoltà al patrimonio della p.a.;La produzione di due effetti: quello privativo, che consiste nell'acquisizione del bene o della facoltà al patrimonio della p.a., quello appropriativo, che consiste nella sottrazione di una facoltà o di un diritto ad un altrosoggetto.;La produzione di un solo effetto: quello privativo, che consiste nella sottrazione di una facoltà o di un diritto ad un altro soggetto.
0545;Con riferimento alla tipologia i provvedimenti ablatori si raccolgonoin tre categorie:;Reali, personali, obbligatori.;Costitutivi, ricognitivi,permissivi.;Ricognitivi, dispensativi, reali.
0546;Il potere attraverso il quale la P.A. per un vantaggio della collettivitàsacrifica un interesse ad un bene della vita di un privato cittadino è il:;Potere ablatorio.;Potere amministrativo.;Potere assoluto.
0547;Quali provvedimenti amministrativi consistono nella sottrazione di diritti reali dei privati e in particolare, del diritto di proprietà con contestuale acquisizione di tali diritti alla pubblica amministrazione?;Provvedimenti ablatori reali.;Provvedimenti ablatori obbligatori.;Provvedimenti di autorizzazione.
0548;Quali provvedimenti amministrativi consistono nel trasferimento coattivo di un bene o di un diritto reale alla pubblicaamministrazione?;Provvedimenti ablatori reali.;Provvedimenti ablatori personali.;Provvedimenti concessori.
0549;I provvedimenti ablatori reali:;Consistono nella sottrazione di diritti reali dei privati e in particolare, del diritto di proprietà con contestuale acquisizione di tali diritti allapubblica amministrazione.;Costituiscono un rapporto obbligatorio tra cittadino e pubblica amministrazione, imponendo ai destinatari lo svolgimento di una determinataprestazione.;Non hanno ad oggetto la proprietà e non prevedono l'imposizione di un indennizzo.
0550;I provvedimenti ablatori reali:;Sono caratterizzati dal trasferimento coattivo di un bene o di un diritto reale da un privato alla pubblica amministrazione.;Producono un effetto privativo di beni o attività con effetto acquisitivo per l'amministrazione.;Trasferiscono un diritto appartenente alla pubblica amministrazione a uno o più soggetti privati.
0551;I provvedimenti ablatori reali:;Producono un effetto privativo al quale si accompagna quello acquisitivo in favore dellapubblica amministrazione.;Non hanno ad oggetto la proprietà e non prevedono l'imposizione di un indennizzo.;Costituiscono atti di consenso che permettono di attribuire nuove facoltà ad un determinato soggetto.
0552;I provvedimenti ablatori reali:;Consistono nel trasferimento coattivo di un bene o di un diritto reale alla pubblicaamministrazione.;Trasferiscono un diritto appartenente alla pubblica amministrazione a uno o piùsoggetti privati.;Costituiscono atti di consenso all'esercizio di un'attività o di un potere.
0553;Le occupazioni temporanee comportano l'obbligo di corrispondere un indennizzo parametrato al periodo di utilizzo del bene?;Si, come le occupazioni d'urgenza.;No. I provvedimenti ablatori reali non comportano mai l'obbligo di corrispondere un indennizzo.;Si, a differenza delle occupazioni d'urgenza.
0554;Le occupazioni d'urgenza comportano l'obbligo di corrispondere un indennizzo parametrato al periodo di utilizzo del bene?;Si, come le occupazioni temporanee.;No. I provvedimenti ablatori reali non comportano mai l'obbligo di corrispondere un indennizzo.;Si, a differenza delle occupazioni temporanee.
0555;I provvedimenti ablatori reali consistono nella sottrazione di diritti reali dei privati e in particolare, del diritto di proprietà con contestuale acquisizione di tali diritti alla pubblica amministrazione.Ne costituiscono un esempio:;Le espropriazioni e le occupazioni.;Le occupazione temporanee e gli ordini dell'autorità sanitaria.;Le requisizioni e l'obbligo di pagare i tributi.
0556;I provvedimenti ablatori reali sono caratterizzati dal trasferimento coattivo di un bene o di un diritto reale da un privato alla pubblica amministrazione. Ne costituiscono un esempio:;Le occupazione d'urgenza e le occupazione temporanee.;Le requisizioni e gli ordini di polizia.;Le confische e gli ordini prescrittivi.
0557;I provvedimenti ablatori reali producono un effetto privativo al quale si accompagna quello acquisitivo in favore della pubblicaamministrazione. Ne costituiscono un esempio:;Le requisizioni e le confische.;Le espropriazioni e gli ordini dell'autorità sanitaria.;Le occupazioni e l'obbligo di pagare i tributi.
0558;In base alla natura della situazione soggettiva sacrificata, i provvedimenti ablatori possono essere personali, obbligatori e reali.È un provvedimento ablatorio reale:;Espropriazione.;Diffida.;Ordine dell'autorità sanitaria.
0559;In base alla natura della situazione soggettiva sacrificata, i provvedimenti ablatori possono essere personali, obbligatori e reali.È un provvedimento ablatorio reale:;Requisizione.;Imposizione tributaria.;Ordine di polizia.
0560;In base alla natura della situazione soggettiva sacrificata, i provvedimenti ablatori possono essere personali, obbligatori e reali.È un provvedimento ablatorio reale:;Confisca.;Imposizione tributaria.;Ordine dell'autorità sanitaria.
0561;In base alla natura della situazione soggettiva sacrificata, i provvedimenti ablatori possono essere personali, obbligatori e reali.È un provvedimento ablatorio reale:;Sequestri.;Diffida.;Ordine di polizia.
0562;In base alla natura della situazione soggettiva sacrificata, iprovvedimenti ablatori possono essere personali, obbligatori e reali. É un provvedimento ablatorio reale:;Occupazione d'urgenza.;Ordine di polizia.;Diffida.
0563;La requisizione è un provvedimento:;Ablatorio reale che consiste nell'apprensione di un bene con i caratteri della temporaneità, urgenza e pagamento di unaindennità.;Ablatorio a carattere non espropriativo, bensì sanzionatorio ed è la misura conseguente alla commissione diun illecito amministrativo.;Che riguarda soltanto cose mobili disposto dall'autorità giudiziaria dietro corrispettivo di un'indennità con effetti irreversibili.
0564;"Con riferimento alle parti nel rapporto espropriativo, per ""promotore dell'espropriazione"" si intende:";Il soggetto, pubblico o privato, che chiede l'espropriazione.;Il soggetto, pubblico o privato, titolare del diritto espropriato.;Il soggetto privato al quale sia stato attribuito il potere di espropriare e che cura il relativo procedimento.
0565;"Con riferimento alle parti nel rapporto espropriativo, per ""autorità espropriante"" si intende:";L'autorità amministrativa titolare del potere di espropriare e che cura il relativo procedimento, ovvero il soggetto privato, al quale sia stato attribuito tale potere, in base ad una norma.;Il soggetto, pubblico o privato, in cui favore è emesso il decreto di espropriazione.;Il soggetto privato che chiede l'espropriazione.
0566;"Con riferimento alle parti nel rapporto espropriativo, per ""espropriato"" si intende:.";Il soggetto, pubblico o privato, titolare del diritto espropriato.;Il soggetto, pubblico o privato, in cui favore è emesso il decreto di esproprio.;Il soggetto privato, al quale sia stato attribuito il potere di espropriare in base ad una norma.
0567;"Con riferimento alle parti nel rapporto espropriativo, per ""beneficiario dell'espropriazione"" si intende:.";Il soggetto, pubblico o privato, in cui favore è emesso il decreto di esproprio.;Il soggetto privato, al quale sia stato attribuito il potere di espropriare in base ad unanorma.;Il soggetto, pubblico o privato, titolare del diritto espropriato.
0568;Con riferimento all'espropriazione per pubblica utilità, l'autorità competente alla realizzazione di un'opera pubblica o di pubblica utilità è anche competente all'emanazione degli atti del procedimentoespropriativo che si renda necessario?;Si.;No.;Solo in casi di servitù militari.
0569;Con riferimento all'espropriazione per pubblica utilità, quale è ladurata del vincolo preordinato all'esproprio?;Cinque anni.;Tre anni.;Due anni.
0570;"Con riferimento all'espropriazione per pubblica utilità, il decreto di esproprio ""dispone"":";Il passaggio del diritto di proprietà, o del diritto oggettodell'espropriazione.;Il vincolo preordinato all'esproprio.;L'accesso ai luoghi da parte del responsabile del procedimento.
0571;Con riferimento all'espropriazione per pubblica utilità, il decreto di esproprio viene eseguito:;Mediante l'immissione in possesso del beneficiariodell'esproprio.;Mediante l'acquisizione nei pubblici registri.;Mediante il pagamento dell'indennità.
0572;Con riferimento all'espropriazione per pubblica utilità, il decreto diesproprio viene trascritto:;Presso l'ufficio dei registriimmobiliari.;Presso l'osservatorio LL.PP.;Solo sulla Gazzetta Ufficiale dellaRepubblica.
0573;Con riferimento all'espropriazione per pubblica utilità, il decreto diesproprio è eseguito mediante l'immissione in possesso:;Del beneficiario dell'esproprio.;Del proprietario.;Del responsabile del procedimento.
0574;Quali provvedimenti amministrativi sono tradizionalmente identificati negli ordini amministrativi, e in quanto provvedimenti che limitano la sfera giuridica dei destinatari sono soggetti alprincipio di legalità?;Provvedimenti ablatori personali.;Provvedimenti ablatori reali.;Provvedimenti concessori.
0575;I provvedimenti ablatori personali:;Sono tradizionalmente identificati negli ordini amministrativi.;Consistono nel trasferimento coattivo di un bene o di un diritto reale alla pubblicaamministrazione.;Trasferiscono un diritto appartenente alla pubblica amministrazione a uno o piùsoggetti privati.
0576;I provvedimenti ablatori personali:;In quanto provvedimenti che limitano la sfera giuridica dei destinatari sono soggetti al principio di legalità.;Sono caratterizzati dal trasferimento coattivo di un bene o di un diritto reale da un privato alla pubblica amministrazione.;Costituiscono atti di consenso all'esercizio di un'attività o di un potere.
0577;I provvedimenti ablatori personali:;Devono essere previsti in modo espresso o implicito dalla legge.;Sono caratterizzati dal trasferimento coattivo di un bene o di un diritto reale da un privato alla pubblica amministrazione.;Trasferiscono un diritto appartenente alla pubblica amministrazione a uno o più soggetti privati.
0578;I provvedimenti ablatori personali:;Sono ordini che producono l'effetto privativo di facoltà o poteri dei privati.;Consistono nella sottrazione di diritti reali dei privati e in particolare, del diritto di proprietà con contestuale acquisizione di tali diritti allapubblica amministrazione.;Costituiscono atti di consenso che permettono di attribuire nuove facoltà ad un determinato soggetto.
